;Producto;Usuario;Detalle Producto;Precio;Ubicacion;Fecha;Visitas;Hash;url
0;001;Houda F.;Busco trabajo;1 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/001-848370274
1;10 liras;Bennaceur B.;"Envío a toda Italia
";200 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/10-lire-848436555
2;2 cañas carp fishing 10' 3,25 lbs carp desing;Emilio A.;1 año de uso;60 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/2-canas-carp-fishing-10-3-25-lbs-carp-desing-848426544
3;2 FUNDAS DE IPAD VARIADAS;Yolanda S.;SE VENDE LOTE DE 2 FUNDAS PARA IPAD. UNA DE ELLAS ES PARA APPLE, LA OTRA NO ESTOY SEGURA. LAS FUNDAS ESTÁN USADAS PERO, SE CONSERVAN EN BUENAS CONDICIONES. MIRAD BIEN LAS FOTOS PARA VER SU ESTADO ANTES DE COMPRAR. NO SE ADMITEN DEVOLUCIONES. NO SE HACEN ENTREGAS EN MANO. SE ADMITEN OFERTAS;15 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/2-fundas-de-ipad-variadas-848368866
4;2 Samsung A12 libres;José M;2 teléfonos móviles Samsung Galaxy A12 libre en perfecto estado de funcionamiento bien cuidados ,sin golpes ni arañazos. se entregan con sus cargadores. 180 euros por los 2 teléfonos. no hago envíos precio no negociable.;180 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/2-samsung-a12-libres-848420796
5;2 Ventiladores Axiales SUNON DP201;Javier L.;"2 Ventiladores SUNON sin usar. Bajo consumo, Resistencia a alta temperatura, Protección de impedancia, vida útil de aproximadamente 50.000 horas. Resistente y de bajo mantenimiento es adecuado para una gran variedad de aplicaciones. Carazterísticas; SUNON DP201A -2123HST 220-240V, con marco de aluminio, Tamaño: 120 x 120 x 38 mm, cojinete de aceite, Voltaje: AC220 ~ 240 V, Corriente: 0.125 / 0.11AMP, Tasa de trabajo: 23/21 (W), Frecuencia: 50/60 (Hz) ), Velocidad: 2600-2900 (R/min), Volumen de aire: 2,58/3,15 (M3/min), Ruido: 42/45 (dB-A), con una resistencia a la temperatura de 120 grados Celsius.";30 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/2-ventiladores-axiales-sunon-dp201-848433930
6;2motoserras;ms;Vendo 2motoserras cómo nuevos trabajan muy poco dias;1.200 EUR;"
										
											
											 Soria";"
											12-nov-2022
										";0;#adomicilio;https://es.wallapop.com/item/2motoserras-848354085
7;365 acertijos y retos de ingenio;Hector M.;Libro de desafíos de todos los estilos, desde visuales, hasta matemáticos;5 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/365-acertijos-y-retos-de-ingenio-848435879
8;4 Cables de alimentación para PC;Joaquín M.;Vendo 4 cables de alimentación para PC de sobremesa, en perfecto estado de funcionamiento, como nuevos. Precio negociable. Tlf. de contacto: 684151838. No hago envíos.;20 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/4-cables-de-alimentacion-para-pc-848440118
9;45 pulgadas en obarco de valdeorras;Aroa J.;Samsung y negociable;350 EUR;"
										
											
											 Vilariño de Ourense";"
											12-nov-2022
										";0;#smartTV;https://es.wallapop.com/item/45pulgadas-848436413
10;4GB DDR3 ordenador sobremesa;Denis  D.;Vendo un módulo de 4GB DDR3 para ordenador sobremesa en muy buen estado y funcionando 4GB 2Rx8 PC3L-10600E-9-13-E3 Funciona para mejorar la memoria de ordenador y la potencia Más cosas en mí perfil;15 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/4gb-ddr3-ordenador-sobremesa-848296908
11;4moms;Lorena G.;Esta nueva no a sido utilizada solo para probarla.;120 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/4moms-848439323
12;6kilos lavadora Siemens rpm1000;Lia C.;Lavadora Siemens 6kg Class A +A Rpm 1000 medidas 85x60cm garantía y transporte a parte mas información al 635 88 93 12 atiendo watsap.;125 EUR;"
										
											
											 Barcelona";"
											12-nov-2022
										";0;#bajoconsumo;https://es.wallapop.com/item/6kilos-lavadora-siemens-rpm1000-848430130
13;7kilos lavadora Daewoo rpm1000;Lia C.;Lavadora Daewoo 7kg Class A+A Rpm 1000 garantía y transporte a parte mas información al 635 88 93 12 atiendo watsap.;125 EUR;"
										
											
											 Barcelona";"
											12-nov-2022
										";0;#bajoconsumo;https://es.wallapop.com/item/7kilos-lavadora-daewoo-rpm1000-848429241
14;A+++ smart touch lavadora candy 6 kilos;Lia C.;Lavadora Candy Smart TOUCH Semi Nueva 6kg Class A+++ rpm 1000 garantía y transporte a parte mas información al 635 88 93 12 atiendo watsap.;135 EUR;"
										
											
											 Barcelona";"
											12-nov-2022
										";0;#bajoconsumo;https://es.wallapop.com/item/a----smart-touch-lavadora-candy-6-kilos-848425830
15;A++ Bosch 7 kilos rpm1200;Lia C.;Lavadora Bosch Maxx 7kg Class A ++ Rpm 1200 Medidas 85x60cm garantía y transporte a parte mas información al 635 88 93 12 atiendo watsap.;145 EUR;"
										
											
											 Barcelona";"
											12-nov-2022
										";0;#bajoconsumo;https://es.wallapop.com/item/a---bosch-7-kilos-rpm1200-848428220
16;A+ combi Siemens 2,00x59cm;Lia C.;Frigorífico Combi Siemens No Frost Class A + Altura 2m ancho 59cm fondo 60cm garantía y transporte a parte mas información al 635 88 93 12 atiendo watsap.;185 EUR;"
										
											
											 Barcelona";"
											12-nov-2022
										";0;#alimentacion;https://es.wallapop.com/item/a--combi-siemens-2-00x59cm-848434087
17;Abarth 500 2014;Alberto C.;Vendo 500 Abarth en perfecto estado muy cuidado y mimado, mejor ver en persona, vendo para comprar algo mas grande . Algo negociable. Abarth 500 en San Jose;13.000 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/abarth-500-2014-848296320
18;Abrigo;Ana G.;Abrigo;15 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/abrigo-848439300
19;Abrigo de lomos de vison;Luis A.;Abrigo largo de lomos de vison;1.850 EUR;Ninguno;Ninguno;0;Ninguno;https://es.wallapop.com/item/abrigo-de-lomos-de-vison-848354079
